Store,Panda YTD Spend,Panda Units,Units/SKU,Proposal Total,PDF Filename
Sweet Jane - Gig Harbor - 1WT,76251.37,24496,17,437.07,Sweet Jane - Gig Harbor - 1WT PICC Proposal.pdf
[HLF] Higher Leaf - BelRed - VMI - 1WT,75957.29,12159,17,437.07,[HLF] Higher Leaf - BelRed - VMI - 1WT PICC Proposal.pdf
The Green Door Buckley - 1WT,75922.19,11235,17,437.07,The Green Door Buckley - 1WT PICC Proposal.pdf
[EUPM] Euphorium Woodinville - VMI,75567.47,11266,17,437.07,[EUPM] Euphorium Woodinville - VMI PICC Proposal.pdf
[HLF] Redmond Leaf Avondale - VMI - 1WT,75504.97,12290,17,437.07,[HLF] Redmond Leaf Avondale - VMI - 1WT PICC Proposal.pdf
[TNDR] Thunder Cannabis Rochester - 1WT,74688.29,10955,17,437.07,[TNDR] Thunder Cannabis Rochester - 1WT PICC Proposal.pdf
[GREC] Greenside Rec Queen Anne - VMI - 1WT,70566.85,10867,17,437.07,[GREC] Greenside Rec Queen Anne - VMI - 1WT PICC Proposal.pdf
Green Roads - 1WT,70143.73,10728,17,437.07,Green Roads - 1WT PICC Proposal.pdf
20After4 - VMI - 1WT,69581.25,15788,17,437.07,20After4 - VMI - 1WT PICC Proposal.pdf
[420] 420 West - 1WT,68863.11,12895,17,437.07,[420] 420 West - 1WT PICC Proposal.pdf
[SCC] Super Chronic Club Olympia - 1WT,68835.79,13886,17,437.07,[SCC] Super Chronic Club Olympia - 1WT PICC Proposal.pdf
Kush Kirkland,68479.88,9006,16,411.36,Kush Kirkland PICC Proposal.pdf
Canna West Seattle - 1WT,67359.87,9127,16,411.36,Canna West Seattle - 1WT PICC Proposal.pdf
Ocean Greens - 1WT,66561.95,10986,16,411.36,Ocean Greens - 1WT PICC Proposal.pdf
[APEX] Apex Cannabis - Pullman - VMI,65437.87,13868,16,411.36,[APEX] Apex Cannabis - Pullman - VMI PICC Proposal.pdf
[HAH] Have A Heart Skyway - VMI - 1WT,65017.78,13785,16,411.36,[HAH] Have A Heart Skyway - VMI - 1WT PICC Proposal.pdf
[FLYD] Floyd's Cannabis Pullman - VMI,64005.36,11309,16,411.36,[FLYD] Floyd's Cannabis Pullman - VMI PICC Proposal.pdf
[EVLV] Evolve Washington - VMI,63442.44,7866,16,411.36,[EVLV] Evolve Washington - VMI PICC Proposal.pdf
Trove Cannabis - VMI,62856.68,9398,16,411.36,Trove Cannabis - VMI PICC Proposal.pdf
[BAKE] The Bake Shop Yakima - VMI - 1WT,62418.58,10930,16,411.36,[BAKE] The Bake Shop Yakima - VMI - 1WT PICC Proposal.pdf
[VLT] Vault Cannabis Spokane,62125.58,7906,16,411.36,[VLT] Vault Cannabis Spokane PICC Proposal.pdf
[BHUT] Bud Hut Maple Valley - VMI - 1WT,61671.58,17064,16,411.36,[BHUT] Bud Hut Maple Valley - VMI - 1WT PICC Proposal.pdf
Altitude,61128.16,8209,16,411.36,Altitude PICC Proposal.pdf
[ZIA] Zia Recreational - VMI - 1WT,60065.13,8833,16,411.36,[ZIA] Zia Recreational - VMI - 1WT PICC Proposal.pdf
Kush Tribe Mukilteo - VMI,59629.97,10710,16,411.36,Kush Tribe Mukilteo - VMI PICC Proposal.pdf
[FIRE] Fire Cannabis Co Omak - 1WT,59438.38,8756,16,411.36,[FIRE] Fire Cannabis Co Omak - 1WT PICC Proposal.pdf
[SLBN] The Slow Burn Main,58978.81,12244,16,411.36,[SLBN] The Slow Burn Main PICC Proposal.pdf
[CZCN] Cannazone Edmonds - VMI,58881.58,8032,16,411.36,[CZCN] Cannazone Edmonds - VMI PICC Proposal.pdf
[HAH] Have A Heart Greenwood - VMI - 1WT,58657.07,11859,16,411.36,[HAH] Have A Heart Greenwood - VMI - 1WT PICC Proposal.pdf
[NVT] Novel Tree Bremerton - VMI - 1WT,58146.44,11870,16,411.36,[NVT] Novel Tree Bremerton - VMI - 1WT PICC Proposal.pdf
Anacortes Cannabis - 1WT,57952.45,7013,16,411.36,Anacortes Cannabis - 1WT PICC Proposal.pdf
