Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Phat Panda Flower (Triangle Kush/28g),,Phat Panda,,136.0,2,2026-05-03
(I) Grape Pie & Cherry Pie DOH 2pk 1g,,PICC,,135.0,30,2026-06-16
(I) GG4 & Mr Nice DOH 2pk 1g,,PICC,,135.0,30,2026-06-16
Phat Panda Flower (Wedding Cake x Terpee Slurpee/28g),,Phat Panda,,134.66,3,2026-06-08
Phat Panda Flower (Sunset Sherbert/3.5g),,Phat Panda,,134.4,21,2026-03-13
Indica - True OG Snickle Fritz Cart,,Snickle Fritz,,134.0,26,2026-06-08
Lemon Cherry Gelato 28g Preroll Pack,,Phat Panda,,133.32,4,2026-03-13
Wedding Cake 28g Preroll Pack,,Phat Panda,,133.32,4,2026-03-01
Platinum Flower (Trophy Wife - Platinum Line/3.5g),,Phat Panda,,128.3,16,2026-04-14
Sativa - Train Wreck Snickle Fritz Cart,,Snickle Fritz,,126.7,22,2026-05-03
Hybrid - GSC Sparklers,,Phat Panda,,126.6,40,2026-05-03
Sativa - Strawberry Cough Panda Pen,,Panda Concentrates,,126.0,18,2026-01-24
Trophy Wife LR Dabstract 1g AIO - (I),,Dabstract,,125.0,10,2026-02-11
OG Chem 1g Preroll,,Phat Panda,,124.8,80,2026-05-18
Chronberry Crunch LR Dabstract Sugar - (I),,Dabstract,,123.0,20,2026-06-08
Sativa - Watermelon Mojito Panda Pen - 3pk,,Panda Concentrates,,120.0,6,2026-06-08
Nooner 1g Preroll,,Phat Panda,,120.0,80,2026-01-24
Indica - Huckleberry Sparklers,,Phat Panda,,120.0,40,2026-05-03
Indica - Northern Lights Infused Preroll,,Phat Panda,,120.0,40,2026-01-24
GMO 1g Preroll,,Phat Panda,,120.0,80,2026-03-01
Indica - Banana Runtz Panda Pen - 3pk,,Panda Concentrates,,120.0,6,2026-06-08
Hybrid - Orange Cream Soda,,Micro Bar,,120.0,8,2026-06-16
Phat Panda Flower (Non GMO/28g),,Phat Panda,,120.0,3,2026-03-13
Indica - Northern Lights Panda Pen - 3pk,,Panda Concentrates,,120.0,6,2026-06-08
Layer Cake 1g Preroll,,Phat Panda,,120.0,80,2026-01-24
Wedding Cake - Platinum 1g Prerolls,,Phat Panda,,120.0,80,2026-01-03
Triple Burger 1g Preroll,,Phat Panda,,119.7,90,2026-04-14
CBD 1:1 Watermelon Fruit Drops,,Hot Sugar,,118.0,24,2026-05-18
Golden Pineapple LR Dabstract 1g C-Cell - (S),,Dabstract,,118.0,13,2026-03-29
Valley Orange LR Dabstract 1g AIO - (H),,Dabstract,,116.7,10,2026-04-14
Pineapple Donut LR Dabstract 1g AIO - (S),,Dabstract,,116.7,10,2026-04-14
Mochi Gelato LR Dabstract 1g AIO - (I),,Dabstract,,116.7,10,2026-04-14
Cheddar Cheese LR Dabstract 1g AIO - (I),,Dabstract,,116.7,10,2026-04-14
Indica - Grape Goji Infused Preroll,,Phat Panda,,113.4,40,2026-04-14
Green Apple Fruit Drops,,Hot Sugar,,112.8,28,2026-06-08
Phat Panda Flower (Truffle Shuffle/14g),,Phat Panda,,112.7,5,2026-02-11
(I) Dungie Pie & Blu Glue DOH 1g,,PICC,,112.5,15,2026-06-16
(S) Du Ma OG & Sour Haze DOH 1g,,PICC,,112.5,15,2026-06-16
Strawberry Mochi Macro Bar,,Non Marijuana Products - Macro Bar,,112.0,4,2026-05-03
Strawberry LR Gummiez - Indica,,Hot Sugar,,112.0,22,2026-06-08
Hybrid - GSC Infused Preroll,,Phat Panda,,111.6,40,2026-06-08
Candy Gas 1g Preroll,,Phat Panda,,110.6,70,2026-06-08
Hybrid - Banana Tangie Panda Pen,,Panda Concentrates,,110.25,15,2026-06-08
Sativa - White Gushers Panda Pen,,Panda Concentrates,,110.25,15,2026-06-08
Sativa - Blue Slushie Panda Pen,,Panda Concentrates,,110.25,15,2026-06-08
Phat Panda Flower (OG Chem/3.5g),,Phat Panda,,110.0,22,2026-03-29
Sativa - Blue Slushie Panda Pen AIO,,Panda Concentrates,,108.29,13,2026-04-14
Scented Marker 1g Preroll,,Phat Panda,,106.4,80,2026-03-13
Cheetah Piss x Trophy Wife 1g Preroll,,Phat Panda,,106.4,80,2026-04-14
Nuclear Nerds 1g Preroll,,Phat Panda,,106.4,80,2026-03-13
Lilac Diesel 1g Preroll,,Phat Panda,,106.4,80,2026-03-29
Durban Poison LR Dabstract 1g AIO - (S),,Dabstract,,105.04,8,2026-06-08
